title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"EvoNav-Bench: Benchmarking Lifelong Navigation in Evolving Environments",2026,"arXiv preprint","https://arxiv.org/abs/2609.08292","pure benchmark",4,4,"N/A benchmark",Risk,"Closest recent evolving-environment benchmark but limited to sequenced navigation subtasks","Controlled environment modifications and persistent-memory evaluation; no continual maintenance objective"
"When Robots Do the Chores: A Benchmark and Agent for Long-Horizon Household Task Execution",2026,"arXiv preprint","https://arxiv.org/abs/2605.14504","method + benchmark",4,4,4,Risk,"Free-form long-horizon household instructions and persistent agent memory","Still one instructed episode"
"Assistance Without Interruption: A Benchmark and LLM-based Framework for Non-Intrusive Human-Robot Assistance",2026,"arXiv preprint","https://arxiv.org/abs/2605.01368","method + benchmark",4,4,4,Risk,"Proactive action without direct commands during an ongoing human activity","Known human plan rather than open-ended multi-role maintenance"
"PBD-AG: Persistent Baseline-Delta Active Graphs with Uncertainty-Aware Inspection for Long-Horizon Service Robots",2026,"arXiv preprint","https://arxiv.org/abs/2608.10449","pure method",4,4,4,A,"Persistent graph representation of stable structure and revisable dynamic events","Perception/world-model paper rather than RTP benchmark"
"PARTNR: A Benchmark for Planning and Reasoning in Embodied Multi-agent Tasks",2024,"arXiv/project release","https://arxiv.org/abs/2411.00081","pure benchmark",5,5,"N/A benchmark",Risk,"Large grounded human-robot task benchmark with simulator-verified LLM generation","Offline assigned episode tasks"
"Habitat 3.0: A Co-Habitat for Humans Avatars and Robots",2024,"CVPR 2024 / arXiv","https://arxiv.org/abs/2310.13724","method + benchmark",5,5,5,A,"Dynamic human-robot cohabitation and collaboration","Two predefined task families"
"Evaluating Multimodal Large Language Models with Daily Composite Tasks in Home Environments",2025,"arXiv preprint","https://arxiv.org/abs/2509.17425","pure benchmark",3,3,"N/A benchmark",B,"Composite tasks in dynamic simulated homes","Fixed MLLM evaluation suite rather than continual RTP"
"BEHAVIOR-1K: A Human-Centered Embodied AI Benchmark with 1000 Everyday Activities and Realistic Simulation",2024,"CoRL preliminary version / arXiv release","https://arxiv.org/abs/2403.09227","pure benchmark",5,5,"N/A benchmark",A,"Rich everyday tasks and object-state semantics","Task-instance and episode oriented"
"CALVIN: A Benchmark for Language-Conditioned Policy Learning for Long-Horizon Robot Manipulation Tasks",2022,"IEEE Robotics and Automation Letters","https://doi.org/10.1109/LRA.2022.3180108","pure benchmark",5,5,"N/A benchmark",A,"Long-horizon language-conditioned composition","Commanded manipulation sequences"
"LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning",2023,"NeurIPS Datasets and Benchmarks","https://proceedings.neurips.cc/paper_files/paper/2023/hash/8c3c666820ea055a77726d66fc7d447f-Abstract-Datasets_and_Benchmarks.html","pure benchmark",5,5,"N/A benchmark",A,"Sequential tasks and lifelong transfer","Continual learning rather than uninterrupted world operation"
"GenSim: Generating Robotic Simulation Tasks via Large Language Models",2024,"ICRA 2024 / arXiv","https://arxiv.org/abs/2310.01361","method + benchmark",5,4,4,Risk,"LLM-generated task-level diversity and exploratory curriculum","Offline generation pipeline"
"RoboGen: Towards Unleashing Infinite Data for Automated Robot Learning via Generative Simulation",2024,"ICML 2024","https://arxiv.org/abs/2311.01455","method + benchmark",5,5,5,Risk,"Automated generation of tasks environments rewards and skills","Training-data generation rather than persistent evaluation"
"RoboCasa: Large-Scale Simulation of Household Tasks for Generalist Robots",2024,"Robotics: Science and Systems","https://doi.org/10.15607/RSS.2024.XX.050","method + benchmark",5,5,5,A,"Large everyday simulation and LLM-guided composite tasks","Predefined evaluation tasks"
"TASKOGRAPHY: Evaluating Robot Task Planning over Large 3D Scene Graphs",2022,"CoRL-era paper / arXiv","https://arxiv.org/abs/2207.05006","pure benchmark",5,4,"N/A benchmark",A,"Direct scene-graph RTP benchmark","Static goal-directed planning"
